user_id,eobt,eldt,departure_airport,arrival_airport,route,remarks,callsign,aircraft,registration,departure_stand,arrival_stand,departure_rwy,arrival_rwy
,2020-10-10 15:00,2020-10-10 15:57,EDDT,EDDF,BRANE Z115 UBIGI M736 MAG Z20 ORTAG/F220 T177 ODIPI T157 KERAX,,DLH195,A21N,DAIEC,,A38,,
,2020-10-10 14:55,2020-10-10 15:59,LOWW,EDDF,LUGEM DCT SUBEN T161 SPESA,,KAL537,B748,HL7617,,S602,,
,2020-10-10 15:00,2020-10-10 15:59,EDDH,EDDF,IDEKO N850 PIROT T152 KERAX,,DLH3PH,A321,DAISD,,A36,,
,2020-10-10 15:05,2020-10-10 16:01,EBBR,EDDF,SPI T180 UNOKO,,DLH1Y,CRJ9,DACKK,,V172,,
,2020-10-10 08:15,2020-10-10 16:02,UAAA,EDDF,BEKRO A106 PABRI L147 AKB M166 IN L169 UK B102 ASKIL L735 BADUS DCT DIMTA DCT VABER L735 GOVEN DCT TADUV T178 KERAX,,GEC8421,MD11,DALCH,,F214,,
,2020-10-10 10:10,2020-10-10 16:06,UACC,EDDF,,,KZR921,B752,P4MAS,,B47,,
,2020-10-10 14:15,2020-10-10 16:08,EGLL,EDDF,DET L6 DVR UL9 KONAN UL607 SPI T180 RASVO/F230 T180 UNOKO,,BAW910N,A320,GEUYH,,E2,,
,2020-10-10 13:55,2020-10-10 16:10,EFHK,EDDF,NUNTO Y369 REKDO DCT GORPI Z80 TILAV L87 PESEL DCT KOSIX DCT NIMAB T171 LASTO T178 KERAX,,FIN7RA,A321,OHLZF,,V109,,
,2020-10-10 14:25,2020-10-10 16:13,ESSA,EDDF,NOSLI N850 BAGOS DCT RIMET/F220 T157 KERAX,,DLH5KX,A320,DAIUK,,A24,,
,2020-10-10 05:25,2020-10-10 16:18,RKSI,EDDF,NOPIK G597 ANSIM Y697 NOGON DCT CHG A575 ASILA B339 POLHO A310 SERNA A815 TANAK B718 BARIK G490 PTG R809 TARSA G719 LAGNI B946 BILMI G375 LKN G722 KUMEN A714 KOMEK DCT KOLJA N746 GORPI Z80 TILAV L87 PESEL DCT KOSIX DCT NIMAB T171 LASTO T178 KERAX,,DLH713,B744,DABTK,,A58,,
